Date,2Y,3Y,5Y,8Y,10Y
2015-01-02,12.95,12.86,12.72,12.36,
2015-01-05,12.86,12.69,12.64,12.31,
2015-01-06,12.71,12.59,12.5,12.26,
2015-01-07,12.695,12.6,12.555,12.365,
2015-01-08,12.81,12.58,12.585,12.37,
2015-01-09,12.53,12.41,12.41,12.16,
2015-01-10,12.53,12.41,12.41,12.16,
2015-01-12,12.69,12.51,12.58,12.29,
2015-01-13,12.61,12.45,12.42,12.22,
2015-01-14,12.52,12.36,12.35,12.26,
2015-01-15,12.43,12.27,12.28,12.15,12.16
2015-01-16,12.37,12.21,12.19,12.03,12.03
2015-01-19,12.48,12.29,12.28,12.18,12.165
2015-01-20,12.37,12.16,12.125,11.92,11.88
2015-01-21,12.33,12.03,11.93,11.75,11.77
2015-01-22,12.46,12.15,12.1,11.95,11.92
2015-01-23,12.39,12.07,11.99,11.74,11.74
2015-01-26,12.43,12.12,12.0,11.8,11.78
2015-01-27,12.41,12.1,12.0,11.78,11.775
2015-01-28,12.43,12.14,12.05,11.83,11.81
2015-01-29,12.43,12.13,12.1,11.87,11.85
2015-01-30,12.56,12.27,12.24,11.98,11.97
2015-02-01,12.56,12.27,12.24,11.98,11.97
2015-02-02,12.69,12.47,12.48,12.19,12.18
2015-02-03,12.58,12.33,12.3,12.11,12.11
2015-02-04,12.66,12.425,12.37,12.225,12.205
2015-02-05,12.77,12.55,12.5,12.39,12.36
2015-02-06,12.78,12.59,12.56,12.48,12.48
2015-02-09,12.9,12.69,12.73,12.6,12.61
2015-02-10,13.04,12.88,12.85,12.7,12.69
2015-02-11,13.25,13.01,12.94,12.72,12.82
2015-02-12,13.1,12.85,12.74,12.54,12.58
2015-02-13,13.22,12.95,12.86,12.685,12.59
2015-02-18,13.13,12.9,12.86,12.67,12.77
2015-02-19,13.19,13.025,12.99,12.825,12.83
2015-02-20,13.27,13.08,13.09,12.88,12.955
2015-02-21,13.27,13.08,13.09,12.88,12.955
2015-02-23,13.26,13.01,12.94,12.765,12.79
2015-02-24,13.05,12.84,12.78,12.64,12.625
2015-02-25,13.0,12.79,12.77,12.65,12.715
2015-02-26,13.13,12.8,12.76,12.65,12.65
2015-02-27,12.81,12.54,12.47,12.26,12.43
2015-03-02,12.96,12.72,12.69,12.5,12.46
