Date,4Y,5Y,10Y,15Y
2015-01-01,,,,7.64
2015-01-02,97.446,5.976,7.141,7.64
2015-01-03,,5.976,7.141,7.64
2015-01-05,96.869,5.957,7.16,7.66
2015-01-06,96.89,6.008,7.222,7.73
2015-01-07,97.021,5.968,7.04,7.56
2015-01-08,97.421,5.902,6.959,7.41
2015-01-09,97.455,5.887,6.95,7.46
2015-01-10,,5.857,6.941,7.46
2015-01-12,,,,7.46
2015-01-13,97.461,5.87,6.99,7.492
2015-01-14,98.051,5.76,6.87,7.36
2015-01-15,97.43,5.697,6.808,7.26
2015-01-16,97.465,5.598,6.74,7.04
2015-01-17,,5.598,6.74,7.04
2015-01-19,97.469,5.562,6.682,7.04
2015-01-20,98.767,5.59,6.71,7.179
2015-01-21,98.767,5.487,6.66,7.15
2015-01-22,99.273,5.39,6.6,7.073
2015-01-23,99.581,5.3,6.52,7.179
2015-01-24,,5.3,6.52,7.179
2015-01-26,99.676,5.305,6.522,7.01
2015-01-27,99.819,5.211,6.52,7.023
2015-01-28,99.812,5.204,6.48,7.035
2015-01-29,100.151,5.21,6.535,7.179
2015-01-30,99.785,5.2,6.485,7.05
2015-01-31,,5.2,6.485,7.05
2015-02-01,5.0,5.2,6.485,7.05
2015-02-02,99.953,5.176,6.46,7.03
2015-02-03,99.73,5.218,6.397,6.98
2015-02-04,99.447,5.31,6.53,7.065
2015-02-05,99.374,5.285,6.49,7.089
2015-02-06,99.006,5.4,6.55,7.182
2015-02-07,,5.4,6.55,7.18
2015-02-09,98.828,5.476,6.68,7.18
2015-02-10,98.875,5.482,6.73,7.21
2015-02-11,98.942,5.45,6.725,7.33
2015-02-12,99.328,5.355,6.64,7.33
2015-02-13,99.509,5.293,6.595,7.24
2015-02-14,,5.293,6.595,7.24
2015-02-16,99.529,5.285,6.61,7.19
2015-02-17,99.493,5.27,6.68,7.275
2015-02-18,99.53,5.2,6.6,7.29
2015-02-19,99.573,5.294,6.7,7.29
2015-02-20,99.626,5.264,6.65,7.31
2015-02-21,,5.264,6.65,7.31
2015-02-23,99.733,5.245,6.67,7.31
2015-02-24,99.86,5.191,6.54,7.21
2015-02-25,99.94,5.164,6.5,7.17
2015-02-26,99.906,5.2,6.545,7.15
2015-02-27,99.926,5.229,6.531,7.18
2015-02-28,,5.229,6.531,7.18
2015-03-02,99.816,5.225,6.608,7.18
2015-03-03,99.67,5.257,6.715,7.24
2015-03-04,99.578,5.292,6.67,7.29
2015-03-05,99.495,5.329,6.666,7.33
2015-03-06,98.839,5.57,6.86,7.484
2015-03-07,,5.57,6.91,7.53
2015-03-09,98.701,5.68,6.975,7.62
2015-03-10,98.354,5.68,7.03,7.62
2015-03-11,98.533,5.67,6.92,7.65
2015-03-12,98.424,5.77,6.998,7.54
2015-03-13,97.78,5.818,7.09,7.66
2015-03-14,,5.818,7.09,7.73
2015-03-16,97.762,5.897,7.054,7.69
2015-03-17,97.939,5.8,6.951,7.6
2015-03-18,98.355,5.722,6.835,7.67
2015-03-19,98.569,5.641,6.9,7.67
2015-03-20,98.637,5.61,6.79,7.49
2015-03-21,,5.61,6.79,7.49
2015-03-23,,,,7.49
2015-03-24,98.834,5.56,6.79,7.44
2015-03-25,98.77,5.685,6.917,7.44
2015-03-26,98.465,5.7,6.96,7.543
2015-03-27,98.453,5.8,7.0,7.6
2015-03-28,,5.8,7.0,7.6
2015-03-30,98.105,5.81,7.06,7.71
2015-03-31,98.186,5.766,6.97,7.71
2015-04-01,98.222,5.734,6.94,7.58
2015-04-02,,5.734,6.94,7.58
2015-04-06,98.651,5.61,6.85,7.46
2015-04-07,98.652,5.575,6.805,7.46
