Date,1Y,5Y,10Y,15Y
2015-01-05,1.9,3.25,3.74,3.96
2015-01-06,1.9,3.21,3.66,3.87
2015-01-07,1.89,3.13,3.59,3.81
2015-01-08,1.88,3.06,3.53,3.75
2015-01-09,1.89,3.06,3.58,3.82
2015-01-10,,3.06,,
2015-01-12,1.88,3.04,3.59,3.83
2015-01-13,1.88,2.95,3.49,3.72
2015-01-14,1.88,2.95,3.46,3.72
2015-01-15,1.9,2.88,3.43,3.72
2015-01-16,1.88,2.76,3.31,3.56
2015-01-19,1.87,2.71,3.24,3.51
2015-01-20,1.86,2.7,3.24,3.49
2015-01-21,1.78,2.66,3.2,3.44
2015-01-22,1.77,2.75,3.28,3.52
2015-01-23,1.73,2.45,2.94,3.12
2015-01-26,1.7,2.44,2.91,3.11
2015-01-27,1.71,2.44,2.89,3.1
2015-01-28,1.68,2.41,2.82,3.05
2015-01-29,1.7,2.45,2.84,3.06
2015-01-30,1.7,2.48,2.88,3.09
2015-02-01,1.7,2.48,2.88,3.09
2015-02-02,1.71,2.47,2.87,3.11
2015-02-03,1.72,2.47,2.87,3.1
2015-02-04,1.72,2.51,2.92,3.12
2015-02-05,1.71,2.61,3.03,3.24
2015-02-06,1.72,2.66,3.09,3.36
2015-02-09,1.73,2.77,3.25,3.46
2015-02-10,1.72,2.79,3.24,3.44
2015-02-11,1.74,2.85,3.32,3.52
2015-02-12,1.74,2.79,3.22,3.38
2015-02-13,1.74,2.71,3.13,3.33
2015-02-14,1.74,,,
2015-02-16,1.75,2.72,3.16,3.34
2015-02-17,1.74,2.82,3.25,3.42
2015-02-18,1.75,2.97,3.46,3.59
2015-02-19,1.75,2.85,3.35,3.49
2015-02-20,1.75,2.84,3.36,3.54
2015-02-21,1.75,,,
2015-02-23,1.75,2.83,3.34,3.53
2015-02-24,1.75,2.76,3.25,3.44
2015-02-25,1.74,2.68,3.16,3.35
2015-02-26,1.73,2.57,3.01,3.22
2015-02-27,1.73,2.57,3.01,3.22
2015-02-28,1.73,2.57,3.01,3.22
2015-03-02,1.73,2.52,2.93,3.15
2015-03-03,1.73,2.55,2.97,3.17
2015-03-04,1.73,2.63,3.09,3.27
2015-03-05,1.73,2.79,3.26,3.42
2015-03-06,1.73,2.77,3.19,3.36
2015-03-07,1.73,,,
2015-03-09,1.73,2.98,3.4,3.56
2015-03-10,1.74,3.2,3.59,3.73
2015-03-11,1.73,3.14,3.58,3.71
2015-03-12,1.74,3.0,3.53,3.67
2015-03-13,1.74,3.05,3.68,3.79
2015-03-14,1.74,,,
2015-03-16,1.73,3.04,3.71,3.86
2015-03-17,1.73,2.99,3.74,3.85
