Date,3Y,5Y,10Y,20Y,30Y
2015-01-01,4.37,,5.83,6.46,6.56
2015-01-02,4.35,5.19,5.81,6.44,6.54
2015-01-03,4.37,,5.83,6.46,6.56
2015-01-05,4.3,5.2,5.81,6.46,6.57
2015-01-06,4.25,5.11,5.74,6.35,6.49
2015-01-07,4.17,5.018,5.66,6.254,6.39
2015-01-08,4.14,4.934,5.59,6.18,6.33
2015-01-09,4.12,4.925,5.6,6.19,6.37
2015-01-10,4.14,,5.63,6.21,6.39
2015-01-12,4.15,4.958,5.62,6.21,6.38
2015-01-13,4.23,4.9,5.64,6.24,6.41
2015-01-14,4.19,4.92,5.57,6.13,6.29
2015-01-15,4.14,4.77,5.48,6.02,6.2
2015-01-16,4.13,4.81,5.38,5.91,6.09
2015-01-17,4.16,,5.4,5.94,6.11
2015-01-19,4.17,4.77,5.37,5.91,6.09
2015-01-20,4.15,4.836,5.38,5.88,6.08
2015-01-21,4.15,4.8,5.44,5.98,6.14
2015-01-22,4.01,4.791,5.36,5.849,6.03
2015-01-23,3.93,4.68,5.3,5.76,5.93
2015-01-24,3.95,,5.32,5.78,5.95
2015-01-26,3.84,4.608,5.29,5.729,5.88
2015-01-27,3.85,4.57,5.25,5.711,5.86
2015-01-28,3.78,4.56,5.18,5.69,5.85
2015-01-29,3.87,4.46,5.18,5.732,5.89
2015-01-30,3.92,4.63,5.22,5.74,5.9
2015-02-01,3.94,,5.24,5.77,5.92
2015-02-02,3.94,,5.23,5.75,5.91
2015-02-03,4.05,4.79,5.32,5.75,6.06
2015-02-04,4.08,4.84,5.36,5.9,6.06
2015-02-05,4.11,4.85,5.4,5.92,6.07
2015-02-06,4.28,5.02,5.61,6.1,6.22
2015-02-07,4.3,,5.63,6.12,6.24
2015-02-09,4.37,5.06,5.61,6.12,6.24
2015-02-10,4.45,5.114,5.67,6.196,6.31
2015-02-11,4.43,5.1,5.71,6.233,6.36
2015-02-12,4.38,5.06,5.64,6.18,6.3
2015-02-13,4.41,5.1,5.63,6.18,6.28
2015-02-14,4.45,,5.67,6.22,6.32
2015-02-16,4.47,5.02,5.65,6.21,6.34
2015-02-17,4.58,5.17,5.72,6.25,6.38
2015-02-18,4.5,5.23,5.61,6.17,6.31
2015-02-19,4.47,5.12,5.65,6.21,6.32
2015-02-20,4.4,5.08,5.59,6.14,6.26
2015-02-21,4.44,,5.63,6.18,6.3
2015-02-23,4.36,5.04,5.53,6.07,6.2
2015-02-24,4.31,5.0,5.53,6.07,6.18
2015-02-25,4.32,5.04,5.57,6.1,6.22
2015-02-26,4.35,5.05,5.58,6.13,6.23
2015-02-27,4.4,4.98,5.62,6.12,6.25
2015-02-28,4.42,,5.64,6.14,6.27
2015-03-02,4.5,5.13,5.71,6.22,6.35
2015-03-03,4.59,5.22,5.81,6.35,6.37
2015-03-04,4.6,5.22,5.8,6.32,6.47
2015-03-05,4.58,5.21,5.81,6.356,6.51
2015-03-06,4.71,5.37,5.98,6.5,6.67
2015-03-07,4.75,,6.02,6.54,6.71
2015-03-09,4.69,5.45,6.09,6.53,6.69
2015-03-10,4.74,5.46,6.06,6.58,6.71
2015-03-11,4.63,5.37,5.94,6.45,6.6
2015-03-12,4.68,5.42,5.99,6.5,6.68
2015-03-13,4.75,5.459,6.1,6.61,6.78
2015-03-14,4.77,,6.12,6.63,6.8
2015-03-16,4.77,,6.12,6.63,6.81
2015-03-17,4.69,5.379,6.02,6.5,6.68
2015-03-18,4.49,5.35,5.84,6.32,6.5
2015-03-19,4.58,5.09,5.87,6.37,6.54
2015-03-20,4.44,5.119,5.74,6.16,6.3
2015-03-21,4.46,,5.76,6.19,6.32
2015-03-23,4.44,5.118,5.68,6.12,6.27
2015-03-24,4.39,5.01,5.69,6.15,6.29
2015-03-25,4.41,5.13,5.76,6.229,6.38
2015-03-26,4.48,5.205,5.83,6.32,6.45
2015-03-27,4.48,5.25,5.87,6.37,6.49
2015-03-28,4.5,,5.89,6.39,6.51
2015-03-30,4.53,5.308,5.95,6.43,6.53
2015-03-31,4.51,5.26,5.88,6.37,6.47
2015-04-01,4.46,5.195,5.84,6.297,6.42
2015-04-02,4.5,,5.88,6.35,6.46
2015-04-06,4.45,5.803,5.72,6.3,6.42
2015-04-07,4.36,5.08,5.67,6.13,6.29
2015-04-08,4.31,5.06,5.65,6.14,6.29
2015-04-09,4.37,5.1,5.7,6.2,6.4
2015-04-10,4.39,5.137,5.74,6.26,6.46
2015-04-11,4.41,,5.76,6.28,6.48
2015-04-13,4.36,5.112,5.73,6.228,6.45
2015-04-14,4.37,5.088,5.71,6.176,6.38
2015-04-15,4.35,5.056,5.7,6.19,6.36
2015-04-16,4.36,5.041,5.68,6.19,6.38
2015-04-17,4.38,5.064,5.71,6.19,6.38
2015-04-18,4.4,,5.74,6.21,6.41
2015-04-20,4.42,5.132,5.78,6.28,6.47
2015-04-21,4.41,5.16,5.8,6.29,6.45
2015-04-22,4.41,5.08,5.83,6.33,6.49
2015-04-23,4.38,5.06,5.78,6.28,6.43
2015-04-24,4.4,5.138,5.76,6.251,6.41
2015-04-25,4.42,,5.79,6.28,6.43
2015-04-27,4.36,5.17,5.79,6.27,6.44
2015-04-28,4.35,5.2,5.83,6.3,6.48
2015-04-29,4.38,5.15,5.85,6.31,6.49
2015-04-30,4.44,5.209,5.89,6.35,6.53
2015-05-01,4.46,,5.92,6.37,6.55
2015-05-04,4.52,5.3,6.0,6.44,6.61
2015-05-05,4.59,5.32,6.06,6.57,6.71
2015-05-06,4.62,5.37,6.1,6.64,6.77
2015-05-07,4.6,5.27,6.02,6.58,6.71
2015-05-08,4.51,5.171,5.88,6.477,6.62
2015-05-09,4.55,,5.92,6.517,6.64
2015-05-11,4.51,5.26,5.97,6.59,6.7
2015-05-12,4.52,5.3,6.02,6.61,6.73
2015-05-13,4.48,5.29,6.04,6.63,6.74
2015-05-14,4.43,5.203,5.97,6.574,6.7
2015-05-15,4.3,5.11,5.89,6.43,6.56
2015-05-16,4.34,,5.92,6.47,6.6
2015-05-18,4.33,5.15,5.9,6.48,6.65
2015-05-19,4.35,5.239,5.9,6.5,6.64
2015-05-20,4.32,5.18,5.87,6.47,6.6
2015-05-21,4.34,5.17,5.89,6.5,6.64
2015-05-22,4.37,5.15,5.91,6.51,6.67
2015-05-23,4.37,,5.93,6.53,6.68
2015-05-25,4.36,5.21,5.93,6.52,6.68
2015-05-26,4.34,5.14,5.9,6.46,6.64
2015-05-27,4.32,5.19,5.93,6.5,6.67
2015-05-28,4.34,5.22,5.96,6.53,6.7
2015-05-29,4.35,5.247,5.95,6.542,6.69
2015-05-30,4.39,,5.99,6.582,6.73
2015-06-01,4.41,5.31,6.04,6.61,6.7
2015-06-02,4.48,5.34,6.07,6.66,6.81
2015-06-03,4.52,5.37,6.12,6.7,6.84
2015-06-04,4.47,5.33,6.12,6.7,6.84
2015-06-05,5.1,5.48,6.27,6.84,6.97
2015-06-06,5.12,,6.29,6.87,6.99
2015-06-07,5.12,,6.29,6.87,6.99
2015-06-08,5.03,5.43,6.23,6.78,6.9
2015-06-09,4.97,5.37,6.24,6.76,6.9
2015-06-10,4.98,5.369,6.25,6.77,6.89
2015-06-11,4.97,5.31,6.17,6.68,6.8
2015-06-12,4.93,5.31,6.17,6.71,6.83
2015-06-13,4.95,,6.21,6.73,6.85
2015-06-15,4.95,5.19,6.16,6.72,6.84
2015-06-16,4.95,5.19,6.15,6.73,6.85
2015-06-17,4.93,5.24,6.15,6.71,6.84
2015-06-18,4.85,5.224,6.07,6.651,6.78
2015-06-19,4.84,5.06,6.04,6.6,6.74
2015-06-20,4.86,,6.06,6.63,6.76
2015-06-22,4.86,5.21,6.09,6.69,6.81
2015-06-23,4.85,5.24,6.11,6.72,6.83
2015-06-24,4.82,5.16,6.074,6.67,6.82
2015-06-25,4.82,5.2,6.1,6.72,6.85
2015-06-26,4.9,5.248,6.14,6.75,6.878
2015-06-27,4.93,,6.17,6.79,6.91
2015-06-28,4.933,,6.178,6.785,6.918
2015-06-29,4.84,5.19,6.06,6.68,6.83
2015-06-30,4.82,5.15,6.03,6.68,6.83
2015-07-01,4.9,5.24,6.12,6.75,6.9
2015-07-02,4.851,5.18,6.069,6.701,6.88
2015-07-03,4.82,5.13,6.04,6.65,6.84
2015-07-04,4.861,,6.078,6.695,6.872
2015-07-06,4.77,5.1,6.0,6.62,6.8
2015-07-07,4.74,5.09,5.9,6.59,6.75
2015-07-08,4.72,5.03,5.93,6.54,6.68
2015-07-09,4.79,5.07,5.98,6.6,6.72
2015-07-10,4.81,5.1,6.01,6.61,6.75
2015-07-11,4.84,,6.036,6.639,6.782
2015-07-13,4.8,5.13,5.97,6.59,6.72
2015-07-14,4.75,5.08,5.96,6.57,6.73
2015-07-15,4.79,5.09,5.93,6.54,6.69
2015-07-16,4.79,5.07,5.97,6.56,6.73
2015-07-17,4.829,5.112,5.98,6.596,6.74
2015-07-18,4.869,,6.01,6.636,6.775
2015-07-20,4.87,5.12,6.0,6.61,6.761
2015-07-21,4.916,5.19,6.046,6.658,6.796
