Date,1Y,2Y,3Y,5Y,10Y
2015-01-01,1.802,1.803,1.908,2.147,
2015-01-02,1.835,1.753,1.853,2.094,2.469
2015-01-03,1.816,1.829,1.87,2.093,2.469
2015-01-04,1.816,1.829,1.87,2.093,
2015-01-05,1.8,1.732,1.776,1.989,2.385
2015-01-06,1.78,1.713,1.78,2.0,
2015-01-07,1.765,1.717,1.762,1.962,2.329
2015-01-08,1.749,1.731,1.74,1.937,2.322
2015-01-09,1.764,1.732,1.754,1.959,2.345
2015-01-10,1.748,1.724,1.767,1.947,2.345
2015-01-11,,1.724,1.767,1.937,
2015-01-12,1.707,1.683,1.7,1.866,2.299
2015-01-13,1.733,1.718,1.725,1.9,2.283
2015-01-14,1.697,1.639,1.68,1.859,2.298
2015-01-15,1.688,1.7,1.665,1.829,2.253
2015-01-16,1.678,1.609,1.717,1.865,2.277
2015-01-17,1.678,1.679,1.735,1.865,2.29
2015-01-18,,1.64,1.735,,
2015-01-19,1.7,1.604,1.658,1.883,2.256
2015-01-20,1.715,1.641,1.725,1.907,2.325
2015-01-21,1.693,1.628,1.728,1.903,2.293
2015-01-22,1.661,1.548,1.648,1.805,2.202
2015-01-23,1.645,1.541,1.582,1.738,2.098
2015-01-24,1.613,1.59,1.589,1.738,2.098
2015-01-25,1.613,1.541,1.582,1.738,
2015-01-26,1.638,1.571,1.665,1.761,2.098
2015-01-27,1.57,1.522,1.588,1.681,2.019
2015-01-28,1.606,1.54,1.591,1.695,2.017
2015-01-29,1.556,1.529,1.586,1.689,2.019
2015-01-30,1.614,1.563,1.585,1.679,1.996
2015-01-31,,1.58,1.607,,1.996
2015-02-01,1.618,1.551,1.585,1.679,1.996
2015-02-02,1.586,1.586,1.627,1.727,2.042
2015-02-03,1.623,1.621,1.653,1.75,2.069
2015-02-04,1.627,1.605,1.667,1.764,2.085
2015-02-05,1.609,1.616,1.687,1.774,2.159
2015-02-06,1.603,1.643,1.797,1.896,2.236
2015-02-07,1.672,,1.734,1.888,2.236
2015-02-08,,1.626,1.797,,
2015-02-09,1.618,1.682,1.812,1.917,2.289
2015-02-10,1.623,1.707,1.831,1.954,2.323
2015-02-11,1.682,1.717,1.829,1.964,2.325
2015-02-12,1.592,1.58,1.702,1.812,2.186
2015-02-13,1.606,1.582,1.711,1.824,2.197
2015-02-14,1.625,1.616,1.733,1.823,2.197
2015-02-15,1.606,1.616,1.717,,
2015-02-16,1.63,1.576,1.701,1.918,2.172
2015-02-17,1.712,1.7,1.812,2.052,2.292
2015-02-18,1.628,1.679,1.817,1.933,2.312
2015-02-19,1.622,1.626,1.792,1.972,2.285
2015-02-20,1.681,1.664,1.809,2.028,2.306
2015-02-21,1.643,1.705,1.831,,2.31
2015-02-22,1.652,1.705,1.831,,2.353
2015-02-23,1.63,1.67,1.789,2.008,2.302
2015-02-24,1.635,1.611,1.76,1.954,2.256
2015-02-25,1.613,1.631,1.741,1.898,2.201
2015-02-26,1.598,1.688,1.746,1.875,2.144
2015-02-27,1.637,1.612,1.761,1.894,2.165
2015-02-28,1.621,1.639,1.777,,2.176
2015-03-01,,1.639,1.777,,
2015-03-02,1.665,1.617,1.753,1.907,2.188
2015-03-03,1.636,1.594,1.786,1.922,2.21
2015-03-04,1.583,1.654,1.8,1.985,2.231
2015-03-05,1.581,1.579,1.794,1.99,2.311
2015-03-06,1.649,1.742,1.935,2.153,2.352
2015-03-07,1.586,1.793,1.983,,
2015-03-09,1.596,1.697,1.885,2.134,2.486
2015-03-10,1.569,1.697,1.884,2.136,2.493
2015-03-11,1.681,1.669,1.824,2.054,2.443
2015-03-12,1.561,1.651,1.8,2.057,2.421
2015-03-13,1.579,1.668,1.844,2.104,2.453
2015-03-14,1.668,1.712,1.883,,2.477
2015-03-16,1.589,1.667,1.823,2.058,2.439
2015-03-17,1.581,1.681,1.844,2.075,2.459
