Date,5Y,10Y,12Y,20Y,30Y
2015-01-02,7.44,7.82,,8.425,8.63
2015-01-05,7.385,7.74,,8.39,8.59
2015-01-06,7.245,7.585,,8.24,8.465
2015-01-07,7.16,7.505,,8.165,8.375
2015-01-08,7.055,7.42,,8.105,8.325
2015-01-09,7.075,7.395,,8.105,8.3
2015-01-12,6.98,7.33,,8.035,8.25
2015-01-13,6.965,7.295,,8.075,8.305
2015-01-14,6.87,7.195,,7.975,8.21
2015-01-15,6.86,7.19,,7.995,8.235
2015-01-16,6.745,7.085,,7.875,8.15
2015-01-19,6.815,7.12,,7.925,8.18
2015-01-20,6.8,7.115,,7.89,8.145
2015-01-21,6.745,7.06,,7.82,8.095
2015-01-22,6.745,7.025,,7.835,8.015
2015-01-23,6.58,6.885,,7.665,7.94
2015-01-26,6.62,6.93,,7.69,7.935
2015-01-27,6.63,6.94,,7.665,7.895
2015-01-28,6.56,6.855,,7.55,7.775
2015-01-29,6.5,6.795,,7.465,7.7
2015-01-30,6.585,6.875,,7.54,7.75
2015-02-02,6.63,6.925,,7.57,7.78
2015-02-03,6.64,6.94,,7.58,7.765
2015-02-04,6.775,7.075,,7.755,7.945
2015-02-05,6.785,7.095,,7.775,7.945
2015-02-06,6.88,7.19,,7.855,8.01
2015-02-09,6.915,7.225,,7.875,8.05
2015-02-10,7.025,7.335,,8.015,8.21
2015-02-11,6.985,7.33,,8.07,8.25
2015-02-12,6.98,7.305,,8.05,8.215
2015-02-13,6.95,7.31,,8.02,8.19
2015-02-16,6.975,7.34,,8.06,8.235
2015-02-17,7.005,7.37,,8.1,8.27
2015-02-18,7.075,7.45,,8.165,8.325
2015-02-19,7.02,7.39,,8.09,8.23
2015-02-20,7.05,7.415,,8.135,8.275
2015-02-23,7.075,7.445,,8.155,8.285
2015-02-24,7.045,7.655,,8.23,8.33
2015-02-25,7.0,7.605,,8.185,8.27
2015-02-26,6.96,7.555,,8.125,8.2
2015-02-27,7.055,7.64,,8.2,8.28
2015-03-02,7.055,7.625,,8.17,8.25
2015-03-03,7.14,7.71,,8.265,8.345
2015-03-04,7.155,7.76,,8.34,8.425
2015-03-05,7.13,7.745,,8.31,8.395
2015-03-06,7.335,7.95,,8.515,8.6
2015-03-09,7.34,7.945,,8.485,8.57
2015-03-10,7.405,7.975,,8.495,8.555
2015-03-11,7.34,7.9,,8.425,8.495
2015-03-12,7.325,7.875,,8.405,8.47
2015-03-13,7.445,7.99,,8.525,8.585
2015-03-16,7.395,7.94,,8.475,8.57
2015-03-17,7.385,7.92,,8.45,8.53
2015-03-18,7.335,7.895,,8.445,8.51
2015-03-19,7.205,7.78,,8.355,8.425
2015-03-20,7.22,7.785,,8.36,8.435
2015-03-23,7.125,7.69,,8.285,8.365
2015-03-24,7.105,7.65,,8.265,8.34
2015-03-25,7.065,7.615,,8.24,8.325
2015-03-26,7.255,7.77,,8.35,8.435
2015-03-27,7.31,7.83,,8.415,8.505
2015-03-30,7.395,7.9,,8.475,8.565
2015-03-31,7.3,7.815,,8.35,8.44
