"Date","Price","Open","High","Low","Change %"
"05/15/2026","14.477","14.467","14.477","14.467","1.52%"
"05/14/2026","14.260","14.275","14.275","14.255","-0.79%"
"05/13/2026","14.373","14.118","14.373","14.118","2.25%"
"05/12/2026","14.057","14.100","14.100","14.050","0.26%"
"05/11/2026","14.020","13.955","14.025","13.950","1.03%"
"05/08/2026","13.877","13.967","13.967","13.877","-0.47%"
"05/07/2026","13.943","13.835","13.958","13.835","0.54%"
"05/06/2026","13.868","13.870","13.900","13.868","-1.14%"
"05/05/2026","14.028","14.033","14.070","14.023","-0.44%"
"05/04/2026","14.090","13.955","14.110","13.955","1.37%"
"04/30/2026","13.900","13.958","13.985","13.900","-1.16%"
"04/29/2026","14.063","13.880","14.063","13.880","1.61%"
"04/28/2026","13.840","13.868","13.875","13.813","0.14%"
"04/27/2026","13.820","13.775","13.820","13.775","0.04%"
"04/24/2026","13.815","13.797","13.830","13.765","0.33%"
"04/23/2026","13.770","13.675","13.770","13.675","1.06%"
"04/22/2026","13.625","13.615","13.635","13.615","0.52%"
"04/20/2026","13.555","13.620","13.620","13.555","-0.11%"
"04/17/2026","13.570","13.632","13.632","13.440","-0.99%"
"04/16/2026","13.705","13.512","13.705","13.512","0.50%"
"04/15/2026","13.637","13.637","13.670","13.615","0.38%"
"04/14/2026","13.585","13.552","13.632","13.552","-0.04%"
"04/13/2026","13.590","13.725","13.725","13.580","-0.91%"
"04/10/2026","13.715","13.755","13.755","13.645","-0.25%"
"04/09/2026","13.750","13.780","13.830","13.745","0.07%"
"04/08/2026","13.740","13.680","13.765","13.670","-2.26%"
"04/07/2026","14.057","14.035","14.075","14.035","0.80%"
"04/06/2026","13.945","13.955","13.955","13.935","-0.68%"
"04/02/2026","14.040","14.125","14.125","14.040","0.25%"
"04/01/2026","14.005","13.972","14.025","13.970","-0.25%"
"03/31/2026","14.040","14.150","14.155","14.040","-1.47%"
"03/30/2026","14.250","14.165","14.260","14.150","-0.31%"
"03/27/2026","14.295","14.400","14.400","14.273","0.42%"
"03/26/2026","14.235","14.320","14.320","14.235","1.28%"
"03/25/2026","14.055","14.130","14.145","14.055","-1.54%"
"03/24/2026","14.275","14.105","14.275","14.105","1.71%"
"03/23/2026","14.035","14.000","14.175","14.000","-1.30%"
"03/20/2026","14.220","14.110","14.240","14.063","0.25%"
"03/19/2026","14.185","14.307","14.307","14.170","1.65%"
"03/18/2026","13.955","13.915","14.000","13.915","0.65%"
"03/17/2026","13.865","13.870","13.882","13.755","-1.74%"
"03/16/2026","14.110","14.110","14.140","13.960","-1.38%"
"03/13/2026","14.307","14.055","14.307","13.965","2.82%"
"03/12/2026","13.915","13.868","13.940","13.810","1.05%"
"03/11/2026","13.770","13.815","13.815","13.710","0.36%"
"03/10/2026","13.720","13.823","13.823","13.715","-1.60%"
"03/09/2026","13.943","14.165","14.165","13.943","-0.39%"
"03/06/2026","13.998","13.950","14.042","13.927","1.49%"
"03/05/2026","13.792","13.627","13.810","13.625","1.67%"
"03/04/2026","13.565","13.640","13.640","13.550","-0.86%"
"03/03/2026","13.682","13.623","13.775","13.623","1.16%"
"03/02/2026","13.525","13.540","13.555","13.507","0.80%"
"02/27/2026","13.417","13.450","13.465","13.417","0.10%"
"02/26/2026","13.403","13.445","13.460","13.403","0.00%"
"02/25/2026","13.403","13.385","13.403","13.385","-0.31%"
"02/24/2026","13.445","13.505","13.505","13.445","-0.19%"
"02/23/2026","13.470","13.505","13.505","13.470","-0.26%"
"02/20/2026","13.505","13.555","13.570","13.505","-0.37%"
"02/19/2026","13.555","13.515","13.555","13.505","0.67%"
"02/18/2026","13.465","13.430","13.470","13.430","-0.27%"
"02/13/2026","13.502","13.565","13.565","13.502","-0.50%"
"02/12/2026","13.570","13.570","13.585","13.545","-0.15%"
"02/11/2026","13.590","13.520","13.590","13.520","0.42%"
"02/10/2026","13.533","13.535","13.535","13.500","0.04%"
"02/09/2026","13.528","13.605","13.605","13.512","-0.57%"
"02/06/2026","13.605","13.605","13.605","13.586","0.37%"
"02/05/2026","13.555","13.580","13.580","13.555","-0.15%"
"02/04/2026","13.575","13.565","13.580","13.565","0.82%"
"02/03/2026","13.465","13.510","13.510","13.465","-0.66%"
"02/02/2026","13.555","13.515","13.565","13.515","0.80%"
"01/30/2026","13.448","13.488","13.488","13.448","0.06%"
"01/29/2026","13.440","13.453","13.458","13.440","-0.19%"
"01/28/2026","13.465","13.467","13.492","13.465","-0.59%"
"01/27/2026","13.545","13.648","13.648","13.545","-0.86%"
"01/26/2026","13.663","13.680","13.680","13.663","-0.67%"
"01/23/2026","13.755","13.770","13.770","13.755","-0.30%"
"01/22/2026","13.797","13.842","13.842","13.797","-0.33%"
"01/21/2026","13.842","13.913","13.913","13.842","-0.51%"
"01/20/2026","13.913","13.970","13.970","13.913","0.55%"
"01/19/2026","13.837","13.863","13.863","13.831","-0.09%"
"01/16/2026","13.850","13.820","13.850","13.820","0.87%"
"01/15/2026","13.730","13.710","13.730","13.710","0.31%"
"01/14/2026","13.688","13.630","13.688","13.630","0.39%"
"01/13/2026","13.635","13.627","13.635","13.627","0.02%"
"01/12/2026","13.632","13.677","13.677","13.632","-0.41%"
"01/09/2026","13.688","13.710","13.710","13.688","0.15%"
"01/08/2026","13.667","13.750","13.750","13.667","-0.24%"
"01/07/2026","13.700","13.725","13.725","13.700","0.26%"
"01/06/2026","13.665","13.693","13.693","13.665","0.55%"
"01/05/2026","13.590","13.675","13.675","13.590","-0.23%"
"01/02/2026","13.621","13.772","13.772","13.606","-1.83%"
"12/26/2025","13.875","13.875","13.875","13.875","-0.29%"
"12/23/2025","13.915","13.915","13.915","13.915","0.18%"
"12/18/2025","13.890","13.890","13.890","13.890","-0.11%"
