"Date","Price","Open","High","Low","Change %"
"05/15/2026","14.431","14.229","14.431","14.165","3.11%"
"05/14/2026","13.996","13.850","14.000","13.810","0.68%"
"05/13/2026","13.902","13.999","14.200","13.902","0.99%"
"05/12/2026","13.766","13.740","13.811","13.740","0.28%"
"05/11/2026","13.728","13.850","13.890","13.700","-0.53%"
"05/08/2026","13.801","13.739","13.900","13.739","0.86%"
"05/07/2026","13.683","13.600","13.699","13.600","0.61%"
"05/06/2026","13.600","13.634","13.738","13.600","-0.15%"
"05/05/2026","13.620","13.529","13.669","13.520","1.05%"
"05/04/2026","13.479","13.486","13.510","13.470","0.60%"
"04/30/2026","13.399","13.370","13.399","13.306","0.22%"
"04/29/2026","13.370","13.334","13.418","13.317","1.06%"
"04/28/2026","13.230","13.260","13.335","13.140","-0.53%"
"04/27/2026","13.300","13.030","13.300","13.000","2.93%"
"04/24/2026","12.921","13.070","13.080","12.921","-0.13%"
"04/23/2026","12.938","12.836","12.990","12.781","0.63%"
"04/22/2026","12.857","12.805","12.915","12.793","0.97%"
"04/21/2026","12.734","12.730","12.774","12.709","0.03%"
"04/20/2026","12.730","12.740","12.746","12.700","0.32%"
"04/17/2026","12.690","12.765","12.765","12.690","-1.33%"
"04/16/2026","12.861","12.900","12.940","12.861","0.48%"
"04/15/2026","12.800","12.855","12.864","12.770","-0.39%"
"04/14/2026","12.850","12.820","12.954","12.820","-1.15%"
"04/13/2026","13.000","13.049","13.049","12.935","0.29%"
"04/10/2026","12.963","13.097","13.100","12.940","-1.05%"
"04/09/2026","13.100","13.363","13.363","13.074","-0.30%"
"04/08/2026","13.140","13.215","13.250","13.140","-0.92%"
"04/07/2026","13.262","13.264","13.286","13.255","-0.05%"
"04/06/2026","13.269","13.227","13.279","13.227","-0.16%"
"04/01/2026","13.290","13.379","13.379","13.290","0.55%"
"03/31/2026","13.217","13.098","13.217","13.098","1.49%"
"03/30/2026","13.023","12.951","13.096","12.951","-0.35%"
"03/27/2026","13.069","13.283","13.283","13.069","-1.48%"
"03/26/2026","13.265","13.210","13.325","13.210","-0.47%"
"03/25/2026","13.327","13.356","13.356","13.327","-0.84%"
"03/24/2026","13.440","13.499","13.500","13.440","-1.18%"
"03/20/2026","13.600","13.608","13.663","13.561","0.45%"
"03/19/2026","13.539","13.626","13.626","13.470","0.33%"
"03/18/2026","13.495","13.500","13.500","13.397","0.26%"
"03/17/2026","13.460","13.340","13.460","13.325","0.45%"
"03/16/2026","13.400","13.407","13.699","13.220","-1.83%"
"03/13/2026","13.650","13.407","13.699","13.220","0.89%"
"03/12/2026","13.530","13.407","13.699","13.220","0.74%"
"03/11/2026","13.430","13.407","13.430","13.220","1.70%"
"03/10/2026","13.205","13.389","13.389","13.205","-2.19%"
"03/09/2026","13.500","13.512","13.550","13.488","-0.74%"
"03/06/2026","13.600","13.550","13.706","13.550","0.56%"
"03/05/2026","13.524","13.551","13.551","13.400","-0.55%"
"03/04/2026","13.599","13.657","13.720","13.570","-2.00%"
"03/03/2026","13.877","13.972","13.984","13.864","0.47%"
"03/02/2026","13.812","13.895","13.925","13.812","-0.16%"
"02/27/2026","13.834","13.820","13.834","13.780","-0.40%"
"02/26/2026","13.889","14.000","14.099","13.889","0.49%"
"02/25/2026","13.821","13.927","13.999","13.821","-0.25%"
"02/24/2026","13.855","13.608","13.900","13.608","1.87%"
"02/23/2026","13.600","13.414","13.600","13.375","1.57%"
"02/20/2026","13.390","13.388","13.427","13.349","0.87%"
"02/19/2026","13.275","13.179","13.275","13.130","1.41%"
"02/18/2026","13.090","13.108","13.143","13.035","0.31%"
"02/17/2026","13.050","13.000","13.060","12.961","1.16%"
"02/16/2026","12.900","12.870","12.900","12.870","1.02%"
"02/13/2026","12.770","12.882","12.882","12.760","-0.78%"
"02/12/2026","12.870","13.033","13.044","12.870","-0.89%"
"02/11/2026","12.985","12.950","12.985","12.950","0.43%"
"02/10/2026","12.930","12.818","12.930","12.818","1.29%"
"02/09/2026","12.765","12.798","12.824","12.711","-0.28%"
"02/06/2026","12.801","12.867","12.912","12.752","0.20%"
"02/05/2026","12.776","12.799","12.890","12.750","0.39%"
"02/04/2026","12.726","12.620","12.800","12.617","1.06%"
"02/03/2026","12.592","12.411","12.612","12.411","0.61%"
"02/02/2026","12.516","12.580","12.620","12.480","-0.14%"
"01/30/2026","12.533","12.549","12.600","12.500","0.91%"
"01/29/2026","12.420","12.505","12.505","12.420","-0.70%"
"01/28/2026","12.508","12.440","12.529","12.411","0.13%"
"01/27/2026","12.492","12.554","12.554","12.492","0.18%"
"01/26/2026","12.469","12.394","12.530","12.394","0.60%"
"01/23/2026","12.395","12.398","12.460","12.327","0.65%"
"01/22/2026","12.315","12.423","12.423","12.217","-0.19%"
"01/21/2026","12.339","12.150","12.339","12.143","1.35%"
"01/20/2026","12.175","12.340","12.340","12.175","0.21%"
"01/19/2026","12.150","12.185","12.200","12.101","-0.38%"
"01/16/2026","12.196","12.083","12.196","12.083","0.36%"
"01/15/2026","12.152","12.104","12.155","12.104","-0.80%"
"01/14/2026","12.250","12.552","12.552","12.250","-3.49%"
"01/13/2026","12.693","12.693","12.693","12.693","-0.29%"
"01/09/2026","12.730","12.770","12.770","12.730","-1.36%"
"01/08/2026","12.905","12.905","12.905","12.905","0.31%"
"01/07/2026","12.865","12.760","12.865","12.760","0.82%"
"01/06/2026","12.760","12.677","12.800","12.677","-1.09%"
"01/05/2026","12.901","12.952","12.990","12.901","-0.07%"
"01/02/2026","12.910","13.040","13.040","12.910","-0.69%"
"12/30/2025","13.000","13.000","13.000","12.850","3.68%"
"12/29/2025","12.538","12.538","12.538","12.538","0.79%"
"12/26/2025","12.440","12.373","12.440","12.373","1.98%"
"12/23/2025","12.199","12.150","12.199","12.150","1.66%"
"12/22/2025","12.000","12.502","12.502","12.000","-5.14%"
"12/19/2025","12.650","12.806","12.806","12.650","-2.24%"
"12/18/2025","12.940","12.730","12.940","12.730","0.24%"
"12/17/2025","12.909","12.899","12.909","12.899","1.26%"
"12/16/2025","12.749","12.756","12.756","12.686","0.46%"
"12/15/2025","12.690","12.671","12.695","12.665","-0.08%"
"12/12/2025","12.700","12.810","12.873","12.700","-0.86%"
"12/11/2025","12.810","12.932","13.030","12.810","-0.23%"
"12/10/2025","12.840","12.690","12.936","12.690","2.58%"
"12/09/2025","12.517","12.420","12.530","12.420","1.76%"
"12/05/2025","12.301","12.393","12.404","12.301","-0.96%"
"12/04/2025","12.420","12.500","12.550","12.330","-1.35%"
"12/03/2025","12.590","12.790","12.815","12.590","-1.79%"
"12/02/2025","12.820","12.876","12.880","12.818","-0.39%"
"12/01/2025","12.870","12.834","12.905","12.829","0.41%"
"11/28/2025","12.818","12.801","12.865","12.695","0.72%"
"11/27/2025","12.726","12.838","12.839","12.726","-0.57%"
"11/26/2025","12.799","12.650","12.799","12.650","1.81%"
"11/25/2025","12.572","12.426","12.572","12.426","0.74%"
"11/24/2025","12.480","12.430","12.480","12.430","0.82%"
