"Date","Price","Open","High","Low","Change %"
"05/15/2026","5.750","5.750","5.750","5.750","-0.17%"
"05/14/2026","5.760","5.760","5.760","5.760","-1.71%"
"05/13/2026","5.860","5.910","5.910","5.860","-0.85%"
"05/12/2026","5.910","5.910","5.910","5.910","1.03%"
"05/11/2026","5.850","5.850","5.850","5.850","0.00%"
"05/08/2026","5.850","5.880","5.880","5.850","-0.51%"
"05/07/2026","5.880","5.880","5.880","5.880","-0.34%"
"05/06/2026","5.900","5.900","5.900","5.900","-0.17%"
"05/05/2026","5.910","5.910","5.910","5.910","0.00%"
"05/04/2026","5.910","5.910","5.910","5.910","0.00%"
"04/30/2026","5.910","5.910","5.910","5.910","0.00%"
"04/29/2026","5.910","5.910","5.910","5.910","-1.99%"
"04/28/2026","6.030","6.030","6.030","6.030","0.17%"
"04/27/2026","6.020","6.020","6.020","6.020","0.50%"
"04/24/2026","5.990","5.990","5.990","5.990","0.50%"
"04/23/2026","5.960","5.960","5.960","5.960","-0.17%"
"04/22/2026","5.970","6.020","6.020","5.970","-0.83%"
"04/21/2026","6.020","6.020","6.020","6.020","0.17%"
"04/20/2026","6.010","6.010","6.010","6.010","-0.50%"
"04/17/2026","6.040","6.040","6.040","6.040","-0.17%"
"04/16/2026","6.050","6.050","6.050","6.050","-0.33%"
"04/15/2026","6.070","6.070","6.070","6.070","-0.49%"
"04/14/2026","6.100","6.100","6.100","6.100","-0.81%"
"04/13/2026","6.150","6.150","6.150","6.150","-4.65%"
"04/10/2026","6.450","6.450","6.450","6.450","-0.15%"
"04/09/2026","6.460","6.460","6.460","6.460","0.00%"
"04/08/2026","6.460","6.460","6.460","6.460","-0.92%"
"04/07/2026","6.520","6.520","6.520","6.520","0.00%"
"04/02/2026","6.520","6.520","6.520","6.520","0.31%"
"04/01/2026","6.500","6.500","6.500","6.500","-2.26%"
"03/31/2026","6.650","6.650","6.650","6.650","0.15%"
"03/30/2026","6.640","6.640","6.640","6.640","0.30%"
"03/27/2026","6.620","6.620","6.620","6.620","1.07%"
"03/26/2026","6.550","6.550","6.550","6.550","0.77%"
"03/25/2026","6.500","6.500","6.500","6.500","-0.31%"
"03/24/2026","6.520","6.520","6.520","6.520","-0.15%"
"03/23/2026","6.530","6.530","6.530","6.530","3.82%"
"03/20/2026","6.290","6.290","6.290","6.290","0.00%"
"03/19/2026","6.290","6.240","6.290","6.240","0.80%"
"03/18/2026","6.240","6.240","6.240","6.240","-0.64%"
"03/17/2026","6.280","6.280","6.280","6.280","-0.63%"
"03/16/2026","6.320","6.320","6.320","6.320","0.32%"
"03/13/2026","6.300","6.300","6.300","6.300","1.29%"
"03/12/2026","6.220","6.220","6.220","6.220","-0.48%"
"03/11/2026","6.250","6.250","6.250","6.250","0.00%"
"03/10/2026","6.250","6.250","6.250","6.250","-1.42%"
"03/09/2026","6.340","6.340","6.340","6.340","3.26%"
"03/06/2026","6.140","6.140","6.140","6.140","0.49%"
"03/05/2026","6.110","6.110","6.110","6.110","0.00%"
"03/04/2026","6.110","6.110","6.110","6.110","-0.16%"
"03/03/2026","6.120","6.120","6.120","6.120","0.82%"
"03/02/2026","6.070","6.070","6.070","6.070","0.50%"
"02/27/2026","6.040","6.040","6.040","6.040","-0.17%"
"02/26/2026","6.050","6.050","6.050","6.050","0.00%"
"02/25/2026","6.050","6.050","6.050","6.050","-0.17%"
"02/24/2026","6.060","6.060","6.060","6.060","0.00%"
"02/23/2026","6.060","6.060","6.060","6.060","0.00%"
"02/20/2026","6.060","6.060","6.060","6.060","-0.16%"
"02/19/2026","6.070","6.070","6.070","6.070","0.17%"
"02/18/2026","6.060","6.060","6.060","6.060","-0.33%"
"02/17/2026","6.080","6.080","6.080","6.080","-0.16%"
"02/16/2026","6.090","6.090","6.090","6.090","0.00%"
"02/13/2026","6.090","6.090","6.090","6.090","-0.16%"
"02/12/2026","6.100","6.100","6.100","6.100","-0.33%"
"02/11/2026","6.120","6.120","6.120","6.120","0.33%"
"02/10/2026","6.100","6.100","6.100","6.100","0.00%"
"02/09/2026","6.100","6.100","6.100","6.100","0.00%"
"02/06/2026","6.100","6.100","6.100","6.100","0.16%"
"02/05/2026","6.090","6.090","6.090","6.090","-0.16%"
"02/04/2026","6.100","6.100","6.100","6.100","0.00%"
"02/03/2026","6.100","6.100","6.100","6.100","0.00%"
"02/02/2026","6.100","6.100","6.100","6.100","0.00%"
"01/30/2026","6.100","6.100","6.100","6.100","-0.16%"
"01/29/2026","6.110","6.110","6.110","6.110","0.16%"
"01/28/2026","6.100","6.100","6.100","6.100","0.00%"
"01/27/2026","6.100","6.100","6.100","6.100","0.00%"
"01/26/2026","6.100","6.100","6.100","6.100","-0.16%"
"01/23/2026","6.110","6.110","6.110","6.110","0.00%"
"01/22/2026","6.110","6.110","6.110","6.110","-0.16%"
"01/21/2026","6.120","6.120","6.120","6.120","0.00%"
"01/20/2026","6.120","6.120","6.120","6.120","-0.16%"
"01/19/2026","6.130","6.130","6.130","6.130","0.00%"
"01/16/2026","6.130","6.130","6.130","6.130","0.00%"
"01/15/2026","6.130","6.130","6.130","6.130","0.00%"
"01/14/2026","6.130","6.130","6.130","6.130","-0.33%"
"01/13/2026","6.150","6.150","6.150","6.150","0.65%"
"01/12/2026","6.110","6.110","6.110","6.110","-0.81%"
"01/09/2026","6.160","6.160","6.160","6.160","-0.16%"
"01/08/2026","6.170","6.170","6.170","6.170","0.16%"
"01/07/2026","6.160","6.160","6.160","6.160","-0.16%"
"01/06/2026","6.170","6.170","6.170","6.170","-0.16%"
"01/05/2026","6.180","6.180","6.180","6.180","0.16%"
"12/30/2025","6.170","6.170","6.170","6.170","0.16%"
"12/29/2025","6.160","6.160","6.160","6.160","0.49%"
"12/23/2025","6.130","6.130","6.130","6.130","-0.49%"
"12/22/2025","6.160","6.160","6.160","6.160","-0.16%"
"12/19/2025","6.170","6.170","6.170","6.170","-0.16%"
"12/18/2025","6.180","6.180","6.180","6.180","-1.44%"
"12/17/2025","6.270","6.270","6.270","6.270","-0.32%"
"12/16/2025","6.290","6.290","6.290","6.290","0.00%"
"12/15/2025","6.290","6.290","6.290","6.290","-0.16%"
"12/12/2025","6.300","6.300","6.300","6.300","-0.16%"
"12/11/2025","6.310","6.310","6.310","6.310","0.00%"
"12/10/2025","6.310","6.310","6.310","6.310","0.00%"
"12/09/2025","6.310","6.310","6.310","6.310","0.16%"
"12/08/2025","6.300","6.300","6.300","6.300","-0.47%"
"12/05/2025","6.330","6.330","6.330","6.330","0.00%"
"12/04/2025","6.330","6.330","6.330","6.330","0.00%"
"12/03/2025","6.330","6.330","6.330","6.330","-0.47%"
"12/02/2025","6.360","6.360","6.360","6.360","-0.16%"
"12/01/2025","6.370","6.370","6.370","6.370","0.00%"
"11/28/2025","6.370","6.370","6.370","6.370","-0.16%"
"11/27/2025","6.380","6.380","6.380","6.380","0.47%"
"11/26/2025","6.350","6.350","6.350","6.350","-0.31%"
"11/25/2025","6.370","6.370","6.370","6.370","0.00%"
"11/24/2025","6.370","6.370","6.370","6.370","0.00%"
"11/21/2025","6.370","6.370","6.370","6.370","0.00%"
"11/20/2025","6.370","6.370","6.370","6.370","0.00%"
"11/19/2025","6.370","6.370","6.370","6.370","-0.16%"
"11/18/2025","6.380","6.380","6.380","6.380","0.00%"
"11/17/2025","6.380","6.380","6.380","6.380","-0.16%"
"11/14/2025","6.390","6.390","6.390","6.390","0.00%"
"11/13/2025","6.390","6.390","6.390","6.390","0.16%"
"11/12/2025","6.380","6.380","6.380","6.380","0.16%"
"11/11/2025","6.370","6.370","6.370","6.370","0.16%"
"11/10/2025","6.360","6.360","6.360","6.360","0.00%"
"11/07/2025","6.360","6.360","6.360","6.360","-0.16%"
"11/06/2025","6.370","6.370","6.370","6.370","0.47%"
"11/05/2025","6.340","6.340","6.340","6.340","0.16%"
"11/04/2025","6.330","6.330","6.330","6.330","0.00%"
"11/03/2025","6.330","6.330","6.330","6.330","-0.47%"
"10/31/2025","6.360","6.360","6.360","6.360","0.16%"
"10/30/2025","6.350","6.350","6.350","6.350","0.63%"
"10/29/2025","6.310","6.310","6.310","6.310","0.32%"
"10/28/2025","6.290","6.290","6.290","6.290","0.00%"
"10/27/2025","6.290","6.290","6.290","6.290","0.00%"
"10/22/2025","6.290","6.290","6.290","6.290","0.00%"
"10/21/2025","6.290","6.290","6.290","6.290","0.00%"
"10/20/2025","6.290","6.290","6.290","6.290","0.00%"
"10/17/2025","6.290","6.290","6.290","6.290","0.00%"
"10/16/2025","6.290","6.290","6.290","6.290","0.00%"
"10/15/2025","6.290","6.290","6.290","6.290","0.00%"
