"Date","Price","Open","High","Low","Change %"
"05/15/2026","9.790","9.790","9.790","9.790","1.72%"
"05/14/2026","9.624","9.635","9.683","9.624","-0.61%"
"05/13/2026","9.683","9.698","9.720","9.683","-0.15%"
"05/12/2026","9.698","9.623","9.730","9.623","0.78%"
"05/11/2026","9.623","9.593","9.745","9.593","0.31%"
"05/08/2026","9.593","9.544","9.680","9.544","0.51%"
"05/07/2026","9.544","9.584","9.585","9.544","-0.42%"
"05/06/2026","9.584","9.729","9.729","9.584","-1.49%"
"05/05/2026","9.729","9.732","9.770","9.729","-0.03%"
"05/04/2026","9.732","9.710","9.807","9.710","0.23%"
"05/01/2026","9.710","9.710","9.710","9.710","-0.09%"
"04/30/2026","9.719","9.756","9.756","9.719","-0.38%"
"04/29/2026","9.756","9.596","9.756","9.596","1.67%"
"04/28/2026","9.596","9.564","9.640","9.564","0.33%"
"04/27/2026","9.564","9.566","9.610","9.550","-0.02%"
"04/24/2026","9.566","9.482","9.610","9.482","0.89%"
"04/23/2026","9.482","9.429","9.530","9.420","0.56%"
"04/22/2026","9.429","9.399","9.470","9.399","0.32%"
"04/21/2026","9.399","9.364","9.399","9.364","0.37%"
"04/20/2026","9.364","9.369","9.430","9.360","-0.05%"
"04/17/2026","9.369","9.460","9.480","9.369","-0.96%"
"04/16/2026","9.460","9.480","9.500","9.460","-0.21%"
"04/15/2026","9.480","9.580","9.580","9.453","-1.04%"
"04/14/2026","9.580","9.630","9.630","9.490","-0.52%"
"04/13/2026","9.630","9.600","9.660","9.600","0.31%"
"04/10/2026","9.600","9.600","9.650","9.600","0.00%"
"04/09/2026","9.600","9.810","9.810","9.590","-2.14%"
"04/08/2026","9.810","9.810","9.810","9.570","1.24%"
"04/07/2026","9.690","9.590","9.900","9.590","1.04%"
"04/06/2026","9.590","9.810","9.810","9.590","-2.24%"
"04/03/2026","9.810","9.810","9.810","9.810","0.00%"
"04/02/2026","9.810","9.810","9.810","9.810","0.00%"
"04/01/2026","9.810","9.730","9.900","9.695","-0.10%"
"03/31/2026","9.820","9.730","9.900","9.730","0.92%"
"03/30/2026","9.730","9.540","9.830","9.540","1.99%"
"03/27/2026","9.540","9.430","9.720","9.430","1.17%"
"03/26/2026","9.430","9.540","9.540","9.430","-1.15%"
"03/25/2026","9.540","9.620","9.620","9.460","-0.83%"
"03/24/2026","9.620","9.740","9.740","9.610","-1.23%"
"03/23/2026","9.740","9.660","9.740","9.600","0.83%"
"03/20/2026","9.660","9.745","9.745","9.660","-1.13%"
"03/19/2026","9.770","9.720","9.800","9.720","0.51%"
"03/18/2026","9.720","9.780","9.780","9.720","0.21%"
"03/17/2026","9.700","9.700","9.700","9.685","-1.42%"
"03/16/2026","9.840","9.840","9.840","9.840","2.07%"
"03/13/2026","9.640","9.460","9.900","9.460","1.90%"
"03/12/2026","9.460","9.400","9.595","9.400","0.64%"
"03/11/2026","9.400","9.450","9.450","9.400","-0.53%"
"03/10/2026","9.450","9.400","9.450","9.340","0.53%"
"03/09/2026","9.400","9.450","9.523","9.400","-0.53%"
"03/06/2026","9.450","9.290","9.600","9.290","1.72%"
"03/05/2026","9.290","9.380","9.490","9.290","-0.96%"
"03/04/2026","9.380","9.280","9.380","9.280","1.08%"
"03/03/2026","9.280","9.440","9.440","9.280","-0.11%"
"03/02/2026","9.290","9.150","9.300","9.150","1.53%"
"02/27/2026","9.150","9.150","9.230","9.150","0.00%"
"02/26/2026","9.150","9.180","9.203","9.150","-0.33%"
"02/25/2026","9.180","9.220","9.220","9.150","-0.43%"
"02/24/2026","9.220","9.260","9.285","9.220","-0.43%"
"02/23/2026","9.260","9.250","9.315","9.250","0.11%"
"02/20/2026","9.250","9.240","9.310","9.240","0.11%"
"02/19/2026","9.240","9.200","9.275","9.200","0.43%"
"02/18/2026","9.200","9.220","9.285","9.200","-0.22%"
"02/17/2026","9.220","9.180","9.337","9.180","0.44%"
"02/16/2026","9.180","9.150","9.305","9.150","0.33%"
"02/13/2026","9.150","9.180","9.300","9.150","-0.33%"
"02/12/2026","9.180","9.180","9.213","9.180","0.00%"
"02/11/2026","9.180","9.210","9.265","9.180","-0.33%"
"02/10/2026","9.210","9.220","9.283","9.210","-0.11%"
"02/09/2026","9.220","9.220","9.220","9.220","-0.65%"
"02/06/2026","9.280","9.330","9.330","9.280","-0.54%"
"02/05/2026","9.330","9.300","9.385","9.300","0.32%"
"02/04/2026","9.300","9.260","9.367","9.260","0.43%"
"02/03/2026","9.260","9.280","9.337","9.260","-0.22%"
"02/02/2026","9.280","9.280","9.280","9.280","0.22%"
"01/30/2026","9.260","9.320","9.363","9.260","-0.64%"
"01/29/2026","9.320","9.350","9.367","9.320","-0.32%"
"01/28/2026","9.350","9.360","9.380","9.350","-0.11%"
"01/27/2026","9.360","9.320","9.413","9.320","0.43%"
"01/26/2026","9.320","9.340","9.400","9.320","-0.21%"
"01/23/2026","9.340","9.450","9.450","9.315","-1.16%"
"01/22/2026","9.450","9.580","9.580","9.400","-1.36%"
"01/21/2026","9.580","9.540","9.625","9.540","0.42%"
"01/20/2026","9.540","9.520","9.630","9.520","0.21%"
"01/19/2026","9.520","9.450","9.645","9.450","0.74%"
"01/16/2026","9.450","9.420","9.497","9.420","0.32%"
"01/15/2026","9.420","9.410","9.447","9.410","0.11%"
"01/14/2026","9.410","9.530","9.530","9.410","0.43%"
"01/13/2026","9.370","9.360","9.433","9.360","0.11%"
"01/12/2026","9.360","9.290","9.423","9.290","0.75%"
"01/09/2026","9.290","9.250","9.415","9.250","0.43%"
"01/08/2026","9.250","9.280","9.400","9.250","-0.32%"
"01/07/2026","9.280","9.390","9.390","9.280","-1.17%"
"01/06/2026","9.390","9.490","9.490","9.390","-1.05%"
"01/05/2026","9.490","9.500","9.567","9.490","-0.11%"
"01/02/2026","9.500","9.540","9.585","9.500","-0.42%"
"01/01/2026","9.540","9.540","9.540","9.540","0.00%"
"12/31/2025","9.540","9.590","9.610","9.540","-0.52%"
"12/30/2025","9.590","9.680","9.680","9.590","0.10%"
"12/29/2025","9.580","9.680","9.680","9.580","0.10%"
"12/26/2025","9.570","9.550","9.647","9.550","0.21%"
"12/24/2025","9.550","9.560","9.650","9.550","-0.10%"
"12/23/2025","9.560","9.500","9.635","9.500","0.63%"
"12/22/2025","9.500","9.460","9.690","9.460","0.42%"
"12/19/2025","9.460","9.410","9.560","9.410","0.53%"
"12/18/2025","9.410","9.460","9.460","9.410","-0.53%"
"12/17/2025","9.460","9.500","9.513","9.460","-0.42%"
