"Date","Price","Open","High","Low","Change %"
"05/15/2026","5.953","5.792","5.966","5.792","2.92%"
"05/14/2026","5.784","5.837","5.847","5.738","-1.01%"
"05/13/2026","5.843","5.753","5.849","5.749","1.44%"
"05/12/2026","5.760","5.782","5.821","5.738","1.00%"
"05/11/2026","5.703","5.619","5.728","5.617","1.82%"
"05/08/2026","5.601","5.624","5.636","5.564","0.20%"
"05/07/2026","5.590","5.615","5.616","5.547","-0.14%"
"05/06/2026","5.598","5.818","5.818","5.591","-3.42%"
"05/05/2026","5.796","5.813","5.881","5.789","0.29%"
"05/04/2026","5.779","5.778","5.846","5.770","0.17%"
"05/01/2026","5.769","5.769","5.769","5.769","-0.17%"
"04/30/2026","5.779","5.793","5.879","5.744","0.05%"
"04/29/2026","5.776","5.703","5.809","5.703","1.03%"
"04/28/2026","5.717","5.647","5.769","5.647","2.07%"
"04/27/2026","5.601","5.618","5.676","5.599","-0.27%"
"04/24/2026","5.616","5.632","5.678","5.584","0.38%"
"04/23/2026","5.595","5.626","5.653","5.595","1.32%"
"04/22/2026","5.522","5.466","5.549","5.466","0.77%"
"04/21/2026","5.480","5.386","5.505","5.386","1.46%"
"04/20/2026","5.401","5.406","5.437","5.401","0.41%"
"04/17/2026","5.379","5.529","5.554","5.370","-2.80%"
"04/16/2026","5.534","5.532","5.547","5.474","0.27%"
"04/15/2026","5.519","5.511","5.552","5.503","-0.16%"
"04/14/2026","5.528","5.548","5.548","5.478","-0.52%"
"04/13/2026","5.557","5.562","5.582","5.516","0.40%"
"04/10/2026","5.535","5.566","5.582","5.513","-0.63%"
"04/09/2026","5.570","5.528","5.594","5.491","0.94%"
"04/08/2026","5.518","5.617","5.618","5.488","-6.40%"
"04/07/2026","5.895","5.761","5.924","5.744","2.63%"
"04/03/2026","5.744","5.744","5.744","5.744","0.81%"
"04/02/2026","5.698","5.738","5.829","5.698","-0.44%"
"04/01/2026","5.723","5.802","5.802","5.707","-2.93%"
"03/31/2026","5.896","5.960","5.977","5.866","-0.84%"
"03/30/2026","5.946","5.877","5.973","5.868","1.11%"
