"Date","Price","Open","High","Low","Change %"
"05/15/2026","6.980","6.940","6.980","6.940","0.29%"
"05/14/2026","6.960","6.940","6.960","6.940","0.29%"
"05/13/2026","6.940","6.970","7.000","6.940","-0.29%"
"05/12/2026","6.960","7.000","7.000","6.960","0.00%"
"05/11/2026","6.960","6.930","7.010","6.930","-0.71%"
"05/08/2026","7.010","7.200","7.200","7.010","0.00%"
"05/07/2026","7.010","7.170","7.350","6.960","-2.37%"
"05/06/2026","7.180","7.295","7.350","7.150","-2.58%"
"05/05/2026","7.370","7.370","7.400","7.370","-0.27%"
"05/04/2026","7.390","7.400","7.400","7.390","0.00%"
"04/30/2026","7.390","7.340","7.420","7.340","0.68%"
"04/29/2026","7.340","7.320","7.340","7.320","0.96%"
"04/28/2026","7.270","7.160","7.320","7.100","-0.41%"
"04/27/2026","7.300","7.220","7.300","7.100","1.11%"
"04/24/2026","7.220","7.100","7.220","7.100","1.55%"
"04/23/2026","7.110","7.095","7.110","7.095","-0.14%"
"04/22/2026","7.120","7.230","7.250","7.120","-1.39%"
"04/21/2026","7.220","7.270","7.300","7.220","0.00%"
"04/20/2026","7.220","7.150","7.220","7.140","0.84%"
"04/17/2026","7.160","6.790","7.200","6.790","3.02%"
"04/16/2026","6.950","6.790","6.950","6.790","2.06%"
"04/15/2026","6.810","6.790","6.920","6.790","0.29%"
"04/14/2026","6.790","6.940","6.970","6.780","-2.02%"
"04/09/2026","6.930","6.940","6.950","6.920","0.14%"
"04/08/2026","6.920","7.200","7.200","6.920","-3.89%"
"04/07/2026","7.200","7.160","7.200","7.150","0.70%"
"04/06/2026","7.150","7.120","7.200","7.120","0.42%"
"04/03/2026","7.120","7.120","7.120","7.120","-0.56%"
"04/02/2026","7.160","7.200","7.220","7.160","0.00%"
"04/01/2026","7.160","7.240","7.300","7.160","-1.78%"
"03/31/2026","7.290","7.300","7.300","7.290","-0.14%"
"03/30/2026","7.300","7.300","7.300","7.290","-0.14%"
"03/27/2026","7.310","7.230","7.330","7.230","0.97%"
"03/26/2026","7.240","7.180","7.300","7.180","0.98%"
"03/25/2026","7.170","7.350","7.350","7.170","-1.78%"
"03/24/2026","7.300","7.290","7.310","7.290","-2.67%"
"03/23/2026","7.500","7.300","7.630","7.300","2.74%"
"03/20/2026","7.300","7.410","7.450","7.160","-2.41%"
"03/19/2026","7.480","7.280","7.510","7.280","5.35%"
"03/18/2026","7.100","7.300","7.300","7.090","-3.66%"
"03/17/2026","7.370","7.390","7.390","7.300","0.00%"
"03/16/2026","7.370","7.300","7.400","7.300","-0.54%"
"03/13/2026","7.410","7.140","7.410","7.140","5.71%"
"03/12/2026","7.010","6.720","7.010","6.720","2.49%"
"03/11/2026","6.840","6.720","6.840","6.720","2.09%"
"03/10/2026","6.700","7.000","7.000","6.610","-5.63%"
"03/09/2026","7.100","6.800","7.140","6.800","5.65%"
"03/06/2026","6.720","6.500","6.720","6.500","1.05%"
"03/05/2026","6.650","6.500","6.680","6.500","1.37%"
"03/04/2026","6.560","6.600","6.700","6.560","1.55%"
"03/03/2026","6.460","6.350","6.460","6.350","1.57%"
"03/02/2026","6.360","6.290","6.510","6.290","1.27%"
"02/27/2026","6.280","6.350","6.350","6.280","-1.10%"
"02/26/2026","6.350","6.280","6.350","6.280","0.79%"
"02/25/2026","6.300","6.350","6.350","6.300","-0.47%"
"02/24/2026","6.330","6.330","6.350","6.330","0.00%"
"02/23/2026","6.330","6.360","6.360","6.330","-0.16%"
"02/20/2026","6.340","6.365","6.400","6.330","-0.63%"
"02/19/2026","6.380","6.380","6.400","6.330","0.79%"
"02/18/2026","6.330","6.380","6.400","6.330","-0.78%"
"02/17/2026","6.380","6.400","6.400","6.380","-0.31%"
"02/16/2026","6.400","6.400","6.400","6.400","0.00%"
"02/13/2026","6.400","6.430","6.450","6.400","-0.16%"
"02/12/2026","6.410","6.460","6.460","6.380","-0.93%"
"02/11/2026","6.470","6.460","6.470","6.430","0.31%"
"02/10/2026","6.450","6.520","6.560","6.430","-1.38%"
"02/09/2026","6.540","6.570","6.570","6.540","-0.46%"
"02/06/2026","6.570","6.600","6.600","6.560","-0.45%"
"02/05/2026","6.600","6.600","6.640","6.600","-1.20%"
"02/04/2026","6.680","6.600","6.680","6.600","0.45%"
"02/03/2026","6.650","6.650","6.650","6.650","1.06%"
"02/02/2026","6.580","6.610","6.610","6.580","1.23%"
"01/30/2026","6.500","6.600","6.600","6.500","-0.76%"
"01/29/2026","6.550","6.540","6.640","6.520","0.31%"
"01/28/2026","6.530","6.620","6.700","6.530","-1.06%"
"01/27/2026","6.600","6.640","6.720","6.600","-0.60%"
"01/26/2026","6.640","6.780","6.780","6.620","-0.30%"
"01/23/2026","6.660","6.695","6.790","6.640","-0.45%"
"01/22/2026","6.690","6.690","6.800","6.680","-0.15%"
"01/21/2026","6.700","6.750","6.800","6.690","-1.03%"
