"Date","Price","Open","High","Low","Change %"
"05/15/2026","9.400","9.335","9.435","9.295","1.62%"
"05/14/2026","9.250","9.305","9.305","9.240","-0.91%"
"05/13/2026","9.335","9.355","9.395","9.320","-0.32%"
"05/12/2026","9.365","9.330","9.390","9.330","0.97%"
"05/11/2026","9.275","9.265","9.285","9.245","0.82%"
"05/08/2026","9.200","9.190","9.235","9.170","0.71%"
"05/07/2026","9.135","9.065","9.135","9.035","-0.38%"
"05/06/2026","9.170","9.240","9.280","9.030","-1.66%"
"05/05/2026","9.325","9.365","9.365","9.310","0.76%"
"05/04/2026","9.255","9.230","9.410","9.220","-0.32%"
"04/30/2026","9.285","9.430","9.445","9.285","-0.70%"
"04/29/2026","9.350","9.255","9.350","9.235","0.97%"
"04/28/2026","9.260","9.095","9.265","9.095","1.93%"
"04/24/2026","9.085","9.185","9.245","9.085","-0.16%"
"04/23/2026","9.100","9.110","9.170","9.060","0.28%"
"04/22/2026","9.075","8.975","9.100","8.960","1.34%"
"04/21/2026","8.955","8.885","8.960","8.885","0.96%"
"04/20/2026","8.870","8.815","8.885","8.815","1.60%"
"04/17/2026","8.730","9.040","9.065","8.715","-3.11%"
"04/16/2026","9.010","8.925","9.030","8.925","0.67%"
"04/15/2026","8.950","8.965","9.000","8.875","-0.50%"
"04/14/2026","8.995","9.100","9.100","8.995","-1.75%"
"04/13/2026","9.155","9.140","9.200","9.085","1.50%"
"04/10/2026","9.020","9.115","9.175","9.005","-1.74%"
"04/09/2026","9.180","9.170","9.260","9.110","0.44%"
"04/08/2026","9.140","9.225","9.345","9.140","-6.35%"
"04/07/2026","9.760","9.650","9.790","9.610","1.19%"
"04/02/2026","9.645","9.715","9.715","9.640","1.37%"
"04/01/2026","9.515","9.640","9.655","9.510","-2.41%"
"03/31/2026","9.750","9.665","9.810","9.615","-0.31%"
"03/30/2026","9.780","9.640","9.820","9.635","1.50%"
"03/27/2026","9.635","9.510","9.670","9.510","2.12%"
"03/26/2026","9.435","9.485","9.525","9.415","0.48%"
"03/25/2026","9.390","9.335","9.465","9.335","-0.79%"
"03/24/2026","9.465","9.460","9.505","9.320","1.23%"
"03/23/2026","9.350","9.840","9.870","9.350","-3.61%"
"03/20/2026","9.700","9.465","9.710","9.425","2.05%"
"03/19/2026","9.505","9.635","9.645","9.390","0.64%"
"03/18/2026","9.445","9.175","9.475","9.115","2.22%"
"03/17/2026","9.240","9.315","9.390","9.240","-0.75%"
"03/16/2026","9.310","9.265","9.375","9.260","0.32%"
"03/13/2026","9.280","9.180","9.305","9.150","1.53%"
"03/12/2026","9.140","9.075","9.140","9.050","1.61%"
"03/11/2026","8.995","8.820","8.995","8.820","0.78%"
"03/10/2026","8.925","9.015","9.015","8.835","-2.72%"
"03/09/2026","9.175","9.175","9.365","9.175","2.00%"
"03/06/2026","8.995","8.790","9.015","8.780","2.62%"
"03/05/2026","8.765","8.800","8.800","8.690","0.06%"
"03/04/2026","8.760","8.865","8.865","8.720","-1.24%"
"03/03/2026","8.870","8.725","8.885","8.725","2.25%"
"03/02/2026","8.675","8.425","8.740","8.415","1.88%"
"02/27/2026","8.515","8.425","8.565","8.415","0.95%"
"02/26/2026","8.435","8.295","8.435","8.295","0.84%"
"02/25/2026","8.365","8.510","8.535","8.365","-2.11%"
"02/24/2026","8.545","8.495","8.560","8.460","0.65%"
"02/23/2026","8.490","8.565","8.565","8.485","-1.11%"
"02/20/2026","8.585","8.595","8.625","8.570","-0.41%"
"02/19/2026","8.620","8.525","8.635","8.525","1.41%"
"02/18/2026","8.500","8.495","8.545","8.465","-0.23%"
"02/17/2026","8.520","8.560","8.570","8.505","-0.29%"
"02/16/2026","8.545","8.565","8.565","8.525","-0.41%"
"02/13/2026","8.580","8.570","8.630","8.570","0.18%"
"02/12/2026","8.565","8.545","8.600","8.525","0.18%"
"02/11/2026","8.550","8.570","8.595","8.545","-0.52%"
"02/10/2026","8.595","8.655","8.670","8.585","-0.81%"
"02/09/2026","8.665","8.675","8.710","8.655","-0.29%"
"02/06/2026","8.690","8.785","8.785","8.680","-0.80%"
"02/05/2026","8.760","8.755","8.795","8.745","0.17%"
"02/04/2026","8.745","8.710","8.785","8.710","0.34%"
"02/03/2026","8.715","8.780","8.780","8.645","-0.80%"
"02/02/2026","8.785","8.835","8.835","8.750","0.34%"
"01/30/2026","8.755","8.770","8.855","8.755","0.81%"
"01/29/2026","8.685","8.770","8.840","8.685","-1.75%"
"01/28/2026","8.840","8.905","8.905","8.820","-0.79%"
"01/27/2026","8.910","8.875","8.940","8.870","0.34%"
"01/26/2026","8.880","8.845","8.900","8.780","-0.22%"
"01/23/2026","8.900","8.980","8.980","8.885","-1.22%"
"01/22/2026","9.010","9.085","9.085","8.945","-0.93%"
"01/21/2026","9.095","9.185","9.185","9.075","-1.03%"
"01/20/2026","9.190","9.155","9.215","9.155","0.44%"
"01/19/2026","9.150","9.200","9.205","9.125","0.66%"
"01/16/2026","9.090","9.015","9.115","9.015","0.78%"
"01/15/2026","9.020","9.060","9.065","9.000","-0.39%"
"01/14/2026","9.055","9.080","9.090","9.005","-0.33%"
"01/13/2026","9.085","9.080","9.095","9.040","0.11%"
"01/12/2026","9.075","9.060","9.080","9.030","-0.22%"
"01/09/2026","9.095","9.110","9.145","9.085","-0.33%"
"01/08/2026","9.125","9.080","9.145","9.080","0.61%"
"01/07/2026","9.070","8.995","9.070","8.995","0.78%"
"01/06/2026","9.000","8.960","9.000","8.940","0.28%"
"01/05/2026","8.975","8.995","8.995","8.945","-0.50%"
"01/02/2026","9.020","8.970","9.040","8.970","0.50%"
